Product ID,Product Name,Product Category,Supplier ID,Orig_Price,Date Added
PROD0001,Lamp,Furniture,SUP2175,408.78,4/17/22
PROD0002,Wardrobe,Clothing,SUP2727,881.32,1/23/21
PROD0003,Camera,Accessories,SUP1802,131.51,7/29/20
PROD0004,,Kitchenware,SUP0374,647.34,1/29/23
PROD0005,Wardrobe,Kitchenware,SUP1980,925.23,4/19/22
PROD0006,Air Conditioner,Accessories,SUP4224,610.99,9/12/22
PROD0007,Bookshelf,Footwear,SUP4148,830.14,1/7/20
PROD0008,Air Conditioner,Accessories,SUP2260,984.97,11/7/20
PROD0009,Vacuum Cleaner,Furniture,SUP4677,291.85,9/1/22
PROD0010,Fridge,Electronics,SUP3209,652.78,5/18/21
PROD0011,Watch,Home Decor,SUP1253,1233819.57,2/9/20
PROD0012,Cookware,Appliances,SUP3610,56.53,2/28/21
PROD0013,Laptop Bag,Home Decor,SUP3664,414.94,2/16/22
PROD0014,Smartwatch,Accessories,SUP2450,391.36,9/10/22
PROD0015,Cookware,Furniture,SUP1269,230.7,6/27/23
PROD0016,Camera,Footwear,SUP4778,518.29,5/23/23
PROD0017,Fridge,Appliances,SUP3216,696.5,7/17/23
PROD0018,Washing Machine,Footwear,SUP3419,399.57,10/28/21
PROD0019,Camera,Accessories,SUP0966,176.62,6/26/21
PROD0020,Wardrobe,Appliances,SUP2606,126.28,1/10/21
PROD0021,Sofa,Footwear,SUP2127,811.46,1/1/23
PROD0022,Shoes,Appliances,SUP4367,226.6,6/29/21
PROD0023,TV,Furniture,SUP4155,515.46,12/20/20
PROD0024,,Accessories,SUP0817,915.29,11/11/20
PROD0025,Laptop Bag,Electronics,SUP1631,277.15,12/4/20
PROD0026,Jacket,Clothing,SUP3788,905.78,10/10/20
PROD0027,Smartphone,Home Decor,SUP0774,666.46,7/21/20
PROD0028,T-shirt,Accessories,SUP4473,663.58,2/1/21
PROD0029,Cookware,Electronics,SUP0568,871.23,6/11/23
PROD0030,Shirt,Home Decor,SUP2252,523.56,11/15/21
PROD0031,Toaster,Kitchenware,SUP1631,467.4,8/9/22
PROD0032,Bed,Kitchenware,SUP3476,685.06,4/26/23
PROD0033,Jeans,Appliances,SUP3168,846.67,8/6/20
PROD0018,Washing Machine,Footwear,SUP3419,399.57,10/28/21
PROD0034,Smartphone,Furniture,SUP0790,560.57,11/10/21
PROD0035,TV,Accessories,SUP3870,254.48,7/13/22
