Transaction ID,Customer ID,Product ID,Quantity Sold,Price per Unit,Transaction Date,Salesperson ID,Payment Method,Store ID
TXN0001,C1175,PROD2089,12,98.8,11/21/23,SP059,Bank Transfer,SI16
TXN0002,C1213,PROD1359,2,168.66,11/15/23,SP012,Check,SI06
TXN0003,C1212,PROD1263,14,413.96,9/18/23,SP086,Bank Transfer,SI18
TXN0004,C1266,PROD0423,7,417.73,10/7/23,SP013,Check,SI11
TXN0005,C1185,PROD0382,7,450.67,10/4/23,SP052,Bank Transfer,SI09
TXN0006,C1167,PROD2116,18,151.65,9/4/23,SP036,Credit Card,SI15
TXN0007,C1126,PROD1187,6,432.48,9/10/23,SP027,Bank Transfer,SI06
TXN0008,C1038,PROD0007,4,193.66,12/18/23,SP035,Credit Card,SI07
TXN0009,C1032,PROD2981,15,132.1,11/3/23,SP075,Credit Card,SI13
TXN0010,C1065,PROD0305,19,81.94,11/16/23,SP067,Check,SI13
TXN0011,C1205,PROD2219,12,423.8,11/30/23,SP042,Credit Card,SI06
TXN0012,C1265,PROD1153,18,138.57,10/17/23,SP033,Cash,SI06
TXN0013,C1183,PROD0211,14,192.86,11/5/23,SP077,Credit Card,SI12
TXN0014,C1249,PROD0939,4,244.38,10/22/23,SP002,Cash,SI19
TXN0015,C1077,PROD2421,19,79.6,10/22/23,SP057,Cash,SI09
TXN0016,C1023,PROD0865,2,388.23,12/21/23,SP077,Bank Transfer,SI01
TXN0017,C1036,PROD1932,7,136.46,10/21/23,SP058,Check,SI05
TXN0018,C1220,PROD2030,19,209.06,10/13/23,SP019,Cash,SI05
TXN0019,C1242,PROD2232,16,78.75,12/4/23,SP093,Bank Transfer,SI09
TXN0020,C1127,PROD2896,13,82.54,10/24/23,SP017,Check,SI11
TXN0021,C1009,PROD2821,10,66.24,9/4/23,SP024,Credit Card,SI02
TXN0022,C1214,PROD2393,19,496.72,10/1/23,SP093,Check,SI06
TXN0023,C1173,PROD0058,12,266.36,9/22/23,SP062,Check,SI13
TXN0024,C1180,PROD1126,9,473.74,10/22/23,SP047,Bank Transfer,SI03
TXN0025,C1118,PROD2994,11,108.23,9/24/23,SP086,Credit Card,SI01
TXN0026,C1117,PROD2909,12,356.05,12/21/23,SP024,Cash,SI13
TXN0027,C1165,PROD2131,1,255.57,11/28/23,SP078,Bank Transfer,SI20
TXN0028,C1057,PROD2279,15,115.93,12/8/23,SP010,Credit Card,SI06
TXN0029,C1125,PROD0791,5,335.22,10/23/23,SP044,Cash,SI06
TXN0030,C1102,PROD2015,7,441.91,11/11/23,SP074,Credit Card,SI16
TXN0031,C1151,PROD1072,5,278.2,12/8/23,SP001,Bank Transfer,SI06
TXN0032,C1083,PROD1513,3,159.59,10/26/23,SP024,Credit Card,SI04
TXN0033,C1248,PROD0584,15,170.93,9/17/23,SP094,Bank Transfer,SI16
TXN0034,C1188,PROD2111,2,383.23,10/3/23,SP098,Cash,SI16
TXN0035,C1275,PROD2765,1,90.76,11/8/23,SP089,Check,SI16
TXN0036,C1147,PROD0975,10,109.12,11/23/23,SP020,Check,SI12
TXN0037,C1125,PROD1125,3,81.02,12/29/23,SP082,Check,SI10
TXN0038,C1101,PROD1879,16,357.09,11/24/23,SP017,Cash,SI19
TXN0039,C1066,PROD1824,14,123.36,12/6/23,SP047,Cash,SI02
TXN0040,C1281,PROD2872,8,156.05,9/1/23,SP049,Credit Card,SI14
TXN0041,C1168,PROD2661,4,89.51,10/14/23,SP032,Credit Card,SI11
TXN0042,C1091,PROD0890,5,195.51,9/25/23,SP067,Credit Card,SI05
TXN0043,C1051,PROD2741,4,120.84,12/11/23,SP055,Check,SI09
TXN0044,C1107,PROD2454,10,284.27,9/27/23,SP083,Bank Transfer,SI19
TXN0045,C1105,PROD0508,12,73.86,11/6/23,SP054,Bank Transfer,SI01
TXN0046,C1164,PROD1265,6,314.06,11/1/23,SP085,Credit Card,SI16
TXN0047,C1059,PROD1280,10,204.39,9/5/23,SP082,Bank Transfer,SI12
TXN0048,C1211,PROD1255,3,394.38,11/18/23,SP014,Cash,SI11
TXN0049,C1250,PROD0067,1,250.44,11/2/23,SP011,Check,SI14
TXN0050,C1221,PROD1710,14,310.78,10/3/23,SP024,Cash,SI12
